"","Recipient","DollarAmount","# of Donations","AvgDonation"
"469","Max Rose for Congress",8300,3,2766.66666666667
"470","STEIL FOR WISCONSIN, INC.",8300,2,4150
"471","TINA SMITH FOR MINNESOTA",8300,2,4150
"472","CATHY MCMORRIS RODGERS FOR CONGRESS",8200,3,2733.33333333333
"473","DANIEL WEBSTER FOR CONGRESS",8200,2,4100
"474","Elise for Congress",8200,2,4100
"475","GIBBS FOR CONGRESS",8200,3,2733.33333333333
"476","STANTON FOR CONGRESS",8200,3,2733.33333333333
"477","TERRI SEWELL FOR CONGRESS",8200,2,4100
"478","WICKER FOR SENATE",8200,2,4100
"479","CATHERINE CORTEZ MASTO FOR SENATE",8100,2,4050
"480","Cathy McMorris Rodgers for Congress",8100,2,4050
"481","CRUZ FOR PRESIDENT",8100,2,4050
"482","EVAN BAYH COMMITTEE",8100,3,2700
"483","Friends of Patrick Murphy",8100,2,4050
"484","FRIENDS OF S. ASHLEY NICKLOES",8100,3,2700
"485","GRAVES FOR CONGRESS",8100,2,4050
"486","HOEVEN FOR SENATE",8100,2,4050
"487","Housley for Senate Committee",8100,2,4050
"488","JOHN KENNEDY FOR US",8100,3,2700
"489","Josh Gottheimer for Congress",8100,2,4050
"490","JUSTIN AMASH FOR CONGRESS",8100,2,4050
"491","Kohl for Congress",8100,2,4050
"492","MCCONNELL SENATE COMMITTEE",8100,2,4050
"493","RON DESANTIS FOR FLORIDA",8100,2,4050
"494","SINEMA FOR ARIZONA",8100,2,4050
"495","VAN HOLLEN FOR SENATE",8100,2,4050
"496","KINZINGER FOR CONGRESS",7900,2,3950
"497","MIKE BOST FOR CONGRESS COMMITTEE",7900,2,3950
"498","Stanton For Congress",7900,2,3950
"499","JONI FOR IOWA",7800,2,3900
"500","THE MARKEY COMMITTEE",7800,2,3900
"501","DONNELLY FOR INDIANA",7750,2,3875
"502","CITIZENS TO ELECT RICK LARSEN",7700,4,1925
"503","ISSA FOR CONGRESS",7700,2,3850
"504","PEOPLE FOR DEREK KILMER",7700,2,3850
"505","SENATE CONSERVATIVES FUND",7700,2,3850
"506","COUNTRY FIRST POLITICAL ACTION COMMITTEE INC. (COUNTRY FIRST PAC)",7600,2,3800
"507","FRIENDS OF HAGEDORN",7600,2,3800
"508","DARRELL ISSA VICTORY FUND",7500,2,3750
"509","SOCIETY OF INDEPENDENT GASOLINE MARKETERS OF AMERICA PAC",7500,2,3750
"510","JAIME HARRISON FOR US SENATE",7450,2,3725
"511","FRIENDS OF JOHN SARBANES",7400,2,3700
"512","MARKEY COMMITTEE; THE",7400,2,3700
"513","PRAMILA FOR CONGRESS",7400,2,3700
"514","ROYCE CAMPAIGN COMMITTEE",7400,3,2466.66666666667
"515","DNC Services Corp./Dem. Nat'l Committee",7300,1,7300
"516","MAKING INVESTMENTS MAJORITY INSURED PAC",7300,2,3650
"517","Brenda Lawrence for Congress",7133,3,2377.66666666667
"518","ANDY BARR FOR CONGRESS, INC.",7100,3,2366.66666666667
"519","NICOLE FOR NEW YORK",7100,3,2366.66666666667
"520","STEPHANIE MURPHY FOR CONGRESS",7100,2,3550
"521","ARIZONA REPUBLICAN PARTY",7000,1,7000
"522","CARSON AMERICA",7000,2,3500
"523","MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE",7000,1,7000
"524","MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",7000,1,7000
"525","OHIO DEMOCRATIC PARTY",7000,1,7000
"526","CHARLIE CRIST FOR CONGRESS",6900,3,2300
"527","MAGGIE FOR NH",6900,2,3450
"528","MARK GREEN FOR CONGRESS",6700,2,3350
"529","Texans for Senator John Cornyn Inc.",6700,4,1675
"530","TROTT FOR CONGRESS, INC.",6700,4,1675
"531","WRIGHT 2016",6700,2,3350
"532","LUCAS FOR CONGRESS",6687,3,2229
"533","RUSS FOR WISCONSIN",6650,3,2216.66666666667
"534","COLLINS VICTORY FUND",6600,2,3300
"535","MARTHA ROBY FOR CONGRESS",6600,2,3300
"536","MIKE JOHNSTON FOR US SENATE",6600,2,3300
"537","Perdue for Senate",6600,2,3300
"538","VAN TAYLOR CAMPAIGN",6600,2,3300
"539","FRIENDS FOR CHRIS STEWART, INC.",6500,2,3250
"540","MIKIE SHERRILL FOR CONGRESS",6500,2,3250
"541","BARON HILL FOR INDIANA",6400,2,3200
"542","Bennet for Colorado",6400,3,2133.33333333333
"543","BOB CORKER FOR SENATE 2018 INC",6400,2,3200
"544","BOB HUGIN FOR SENATE INC",6400,2,3200
"545","BOUSTANY FOR SENATE INC",6400,2,3200
"546","DIANA DEGETTE FOR CONGRESS",6400,2,3200
"547","DOLD FOR CONGRESS",6400,2,3200
"548","KATHLEEN MATTHEWS FOR CONGRESS",6400,2,3200
"549","LEAHY FOR U.S. SENATOR COMMITTEE",6400,2,3200
"550","NORMA TORRES FOR CONGRESS",6400,2,3200
"551","OHIO GRASSROOTS VICTORY FUND",6400,2,3200
"552","RUFUS GIFFORD FOR CONGRESS",6400,3,2133.33333333333
"553","Stivers for Congress",6400,2,3200
"554","TOM REED FOR CONGRESS",6400,3,2133.33333333333
"555","WHITEHOUSE FOR SENATE",6400,2,3200
"556","KYRSTEN SINEMA FOR CONGRESS",6300,2,3150
"557","BETO FOR TEXAS",6200,3,2066.66666666667
"558","KAY GRANGER CAMPAIGN FUND",6200,3,2066.66666666667
"559","MALONEY FOR CONGRESS",6200,2,3100
"560","COOPER FOR CONGRESS",6100,2,3050
"561","KHAZEI FOR CONGRESS",6100,2,3050
"562","FRIENDS OF SHERROD BROWN",6000,3,2000
"563","FAMILIES FOR JAMES LANKFORD",5821,2,2910.5
"564","Meeks Victory Fund",5703,2,2851.5
"565","AMANDA MAKKI FOR CONGRESS",5600,1,5600
"566","ANNA PAULINA LUNA FOR CONGRESS",5600,1,5600
"567","BOLDUC 2020, INC.",5600,1,5600
"568","BRIAN FITZPATRICK FOR CONGRESS",5600,1,5600
"569","Bullock for President",5600,1,5600
"570","Burgess for Utah",5600,1,5600
"571","BYRNE FOR SENATE, INC.",5600,1,5600
"572","CARLA SPALDING FOR CONGRESS",5600,1,5600
"573","CARMELITA FOR CONGRESS",5600,1,5600
"574","CHURCH FOR WISCONSIN",5600,1,5600
"575","CHUY GARCIA FOR CONGRESS",5600,1,5600
"576","CITIZENS FOR RUSH",5600,1,5600
"577","COLLINS VICTORY COMMITTEE",5600,1,5600
"578","COMMITTEE TO RE-ELECT STEVE WATKINS",5600,1,5600
"579","CUMMINGS FOR CONGRESS",5600,1,5600
"580","DARRELL ISSA FOR CONGRESS",5600,1,5600
"581","DON BACON FOR CONGRESS",5600,1,5600
"582","DOUG LAMALFA COMMITTEE",5600,1,5600
"583","ELISE VICTORY FUND",5600,1,5600
"584","Ernst Victory Iowa",5600,1,5600
"585","ESSHAKI FOR CONGRESS",5600,1,5600
"586","Friends of Dick Durbin Committee",5600,1,5600
"587","FRIENDS OF LEON BENJAMIN, INC.",5600,1,5600
"588","FRIENDS OF MATT GAETZ",5600,2,2800
"589","HICKENLOOPER FOR COLORADO",5600,1,5600
"590","JASON LEWIS FOR SENATE",5600,1,5600
"591","JIM RISCH FOR U.S. SENATE COMMITTEE",5600,1,5600
"592","John James for Senate",5600,1,5600
"593","Joni For Iowa",5600,1,5600
"594","KIM KLACIK FOR CONGRESS",5600,1,5600
"595","KISTNER FOR CONGRESS",5600,1,5600
"596","MAYA R. CUMMINGS FOR CONGRESS",5600,1,5600
"597","MCGUIRE FOR VIRGINIA",5600,1,5600
"598","MCSALLY SENATE VICTORY FUND 2020",5600,1,5600
"599","MICHAEL BLAKE FOR CONGRESS",5600,1,5600
"600","MICHELLE STEEL FOR CONGRESS",5600,1,5600
"601","Mike Bost for Congress Committe",5600,1,5600
"602","MIKE GARCIA FOR CONGRESS",5600,1,5600
"603","NANCY MACE FOR CONGRESS",5600,2,2800
"604","NEAL VICTORY FUND",5600,1,5600
"605","OLSON FOR CONGRESS COMMITTEE",5600,1,5600
"606","PATRIOTS FOR PERRY",5600,1,5600
"607","PETER MEIJER FOR CONGRESS",5600,1,5600
"608","REED VICTORY COMMITTEE",5600,1,5600
"609","ROSS SPANO FOR CONGRESS",5600,1,5600
"610","Rounds for Senate",5600,1,5600
"611","SANDY SMITH FOR CONGRESS, INC.",5600,1,5600
"612","SCHELLER FOR CONGRESS, INC.",5600,1,5600
"613","SEAN JACKSON FOR CONGRESS COMMITTEE",5600,1,5600
"614","SHAHEEN FOR SENATE",5600,1,5600
"615","SLOCUM FOR CONGRESS",5600,1,5600
"616","STREICKER FOR CONGRESS, INC.",5600,1,5600
"617","TAYLOR FOR CONGRESS 2020",5600,1,5600
"618","Team Graham, Inc",5600,1,5600
"619","THOMAS MASSIE FOR CONGRESS",5600,1,5600
"620","Tiffany Shedd for Congress Committee",5600,1,5600
"621","VIRGIN ISLANDS FOR PLASKETT",5600,1,5600
"622","WARNOCK FOR GEORGIA",5600,1,5600
"623","ELBERT GUILLORY'S AMERICA",5500,1,5500
"624","FRIENDS OF DAN FEEHAN",5500,2,2750
"625","Friends of Schumer",5500,2,2750
"626","Kamala Harris for the People",5500,2,2750
"627","Kamala Harris For The People",5500,2,2750
"628","WEBER FOR CONGRESS",5500,2,2750
"629","Team Rick Scott",5429,2,2714.5
"630","Alex T for Congress",5400,1,5400
"631","ANDREA ZOPP FOR US SENATE",5400,1,5400
"632","ANGUS KING FOR U.S. SENATE CAMPAIGN",5400,1,5400
"633","BENISHEK FOR CONGRESS, INC.",5400,1,5400
"634","BENNET COLORADO VICTORY",5400,2,2700
"635","BRADY VICTORY FUND",5400,1,5400
"636","Chris Christie for President Inc.",5400,2,2700
"637","Chris Christie for President, Inc.",5400,2,2700
"638","COMMITTEE TO ELECT DARRYL GLENN",5400,2,2700
"639","COMMITTEE TO RE-ELECT LORETTA SANCHEZ",5400,1,5400
"640","DEFAZIO FOR CONGRESS",5400,1,5400
"641","Donna Shalala for Congress",5400,1,5400
"642","FRIENDS OF ANDY COLEMAN",5400,1,5400
"643","FRIENDS OF DAN KILDEE",5400,1,5400
"644","FRIENDS OF FRANK GUINTA",5400,1,5400
"645","Friends of Kelly Ayotte Inc",5400,1,5400
"646","Friends of Todd Young",5400,1,5400
"647","Georgians For Isakson",5400,1,5400
"648","GERSON FOR CONGRESS",5400,1,5400
"649","Gillibrand for Senate",5400,1,5400
"650","Gillibrand Victory Fund",5400,1,5400
"651","Hatch Election Committee Inc",5400,1,5400
"652","Hatch Election Committee, Inc",5400,1,5400
"653","JAMIE RASKIN FOR CONGRESS",5400,1,5400
"654","Jeb 2016, Inc",5400,1,5400
"655","Jeb 2016. Inc.",5400,2,2700
"656","Joan McCarthy Lasonde for Congress",5400,1,5400
"657","JUDD MATHENY FOR CONGRESS",5400,1,5400
"658","Kennedy-Sinema Victory Fund",5400,1,5400
"659","Kirk Victory 2016",5400,1,5400
"660","Klobuchar for Minnesota",5400,1,5400
"661","Lea Marquez Peterson For Congress",5400,1,5400
"662","LENA FOR CONGRESS",5400,1,5400
"663","LINDSEY GRAHAM 2016",5400,2,2700
"664","Liz Cheney for Wyoming",5400,1,5400
"665","LON JOHNSON FOR CONGRESS",5400,1,5400
"666","LORETTA SANCHEZ FOR SENATE",5400,1,5400
"667","MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE",5400,2,2700
"668","McSally For Senate",5400,1,5400
"669","McSally for Senate Inc.",5400,1,5400
"670","MCSALLY SENATE VICTORY FUND",5400,1,5400
"671","MICHAEL WALTZ FOR CONGRESS",5400,2,2700
"672","Missourians For Kander",5400,1,5400
"673","Montanans For Tester",5400,1,5400
"674","NEAL SIMON FOR U.S. SENATE",5400,1,5400
"675","PAUL CHABOT CONGRESS",5400,1,5400
"676","RADINOVICH FOR CONGRESS",5400,1,5400
"677","Rick Scott For Florida",5400,1,5400
"678","ROGER WILLIAMS FOR U S CONGRESS COMMITTEE",5400,2,2700
"679","Ron Johnson For Senate",5400,1,5400
"680","ROSEN FOR NEVADA",5400,2,2700
"681","Ryan for Congress, Inc.",5400,1,5400
"682","SCOTT STURGILL FOR CONGRESS",5400,1,5400
"683","Scott Taylor For Cangross",5400,1,5400
"684","Scott Taylor for Congress",5400,1,5400
"685","Scott Walker Inc.",5400,1,5400
"686","SEAN PATRICK MALONEY FOR CONGRESS",5400,1,5400
"687","SENATE IMPACT: TN & NV",5400,1,5400
"688","SENSENBRENNER COMMITTEE",5400,1,5400
"689","SHELBY FOR U S SENATE",5400,1,5400
"690","SHERMAN FOR CONGRESS",5400,1,5400
"691","Stabenow for U.S. Senate",5400,1,5400
"692","STEVE FERRARA FOR CONGRESS",5400,1,5400
"693","Steve Israel for Congress Committee",5400,1,5400
"694","Steve Smith For Congress",5400,1,5400
"695","STEVE SMITH FOR CONGRESS",5400,1,5400
"696","STRICKLAND FOR SENATE",5400,1,5400
"697","STUTZMAN FOR SENATE",5400,1,5400
"698","Tester Victory Fund",5400,1,5400
"699","TEXANS FOR SENATOR JOHN CORNYN INC",5400,1,5400
"700","TIM RYAN FOR AMERICA",5400,2,2700
"701","TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE",5400,1,5400
"702","Warner Victory Fund",5400,1,5400
"703","WENDYROGERS.ORG",5400,1,5400
"704","WINNING WOMEN FOR THE US SENATE",5400,1,5400
"705","YOUNG HOOSIER VICTORY FUND",5400,2,2700
"706","Suozzi Victory Fund",5370,2,2685
"707","CURTIS FOR CONGRESS",5300,2,2650
"708","MIKE THOMPSON FOR CONGRESS",5300,3,1766.66666666667
"709","THOM TILLIS NC VICTORY COMMITTEE 2020",5300,2,2650
"710","JACKIE SPEIER FOR CONGRESS",5200,2,2600
"711","Lindsey Graham 2016",5200,2,2600
"712","ROHRABACHER FOR CONGRESS",5200,2,2600
"713","150PAC.ORG",5000,1,5000
"714","21ST CENTURY LEADERS",5000,1,5000
"715","21ST CENTURY MAJORITY FUND",5000,1,5000
"716","44 FUND",5000,1,5000
"717","ALL AMERICA PAC",5000,1,5000
"718","All For Our Country Leadership PAC",5000,1,5000
"719","AMERICAN POSSIBILITIES PAC",5000,1,5000
"720","ARIZONA GRASSROOTS ACTION PAC",5000,1,5000
"721","ASPIRE PAC",5000,1,5000
"722","AUSTIN SCOTT FOR CONGRESS INC",5000,1,5000
"723","BILL PAC",5000,1,5000
"724","BLUEGRASS COMMITTEE",5000,1,5000
"725","CINCINNATUS PAC",5000,1,5000
"726","Citizens for Prosperity in America Today PAC",5000,1,5000
"727","CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC",5000,1,5000
"728","Colin Allred for Congress",5000,1,5000
"729","COLORADANS FOR FAMILY, MILITARY, AND NATION PAC",5000,1,5000
"730","COMMON GOOD PAC",5000,1,5000
"731","COMMON VALUES PAC",5000,1,5000
"732","CURBELO VICTORY COMMITTEE",5000,1,5000
"733","DELIVER. EXCEL. BELIEVE. PAC",5000,1,5000
"734","Democrats for Opportunity Fund",5000,1,5000
"735","DIRIGO PAC",5000,1,5000
"736","DURBIN VICTORY FUND",5000,2,2500
"737","E-PAC",5000,1,5000
"738","EDUCATE AND INNOVATE PAC",5000,1,5000
"739","EXPERIENCED LEADERSHIP MATTERS PAC",5000,1,5000
"740","FEARLESS FOR THE PEOPLE PAC",5000,1,5000
"741","FORWARD TOGETHER PAC",5000,1,5000
"742","FRIENDS OF MIA LOVE PAC",5000,1,5000
"743","FUND FOR AMERICA'S FUTURE",5000,1,5000
"744","GAP INC. POLITICAL ACTION COMMITTEE; THE",5000,1,5000
"745","GEORGIA REPUBLICAN PARTY, INC.",5000,1,5000
"746","GOLDEN RULE PAC",5000,1,5000
"747","Great Lakes PAC",5000,1,5000
"748","GREEN VICTORY FUND",5000,1,5000
"749","HATCH VICTORY COMMITTEE",5000,1,5000
"750","HISPANIC VICTORY PAC",5000,1,5000
"751","HOOPS PAC",5000,1,5000
"752","ILLINOIS SENATE VICTORY",5000,1,5000
"753","INVEST IN A STRONG AND SECURE AMERICA",5000,1,5000
"754","IPAA Wildcatters Fund",5000,1,5000
"755","IPAA WILDCATTERS FUND",5000,1,5000
"756","JOBS, OPPORTUNITIES AND EDUCATION PAC (JOE-PAC)",5000,1,5000
"757","JOHN BOLTON PAC",5000,1,5000
"758","KIRK VICTORY COMMITTEE",5000,1,5000
"759","LEADERSHIP MATTERS FOR AMERICA PAC, INC.",5000,1,5000
"760","LEADING ORANGE COUNTY PAC",5000,1,5000
"761","LEAGUE OF CONSERVATION VOTERS ACTION FUND",5000,1,5000
"762","LOS ANGELES COUNTY DEMOCRATIC CENTRAL COMMITTEE",5000,1,5000
"763","MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL",5000,1,5000
"764","Mooney Victory Fund",5000,1,5000
"765","More Conservatives PAC (MCPAC)",5000,1,5000
"766","MORE CONSERVATIVES PAC (MCPAC)",5000,1,5000
"767","MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC)",5000,1,5000
"768","NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE",5000,1,5000
"769","NATIONAL STRIPPER WELL ASSOCIATION PAC (NSWA PAC)",5000,1,5000
"770","NEW GENERATION PAC",5000,1,5000
"771","NEW HAMPSHIRE REPUBLICAN STATE COMMITTEE",5000,1,5000
"772","NORTH CAROLINA REPUBLICAN PARTY",5000,1,5000
"773","NUTMEG PAC",5000,1,5000
"774","PEAKS AND PALMS SENATE VICTORY",5000,1,5000
"775","PERIMETER PAC",5000,1,5000
"776","Pittenger for Congress, LLC",5000,1,5000
"777","Portman-Ohio Victory Committee",5000,1,5000
"778","Promoting Our Republican Team PAC",5000,1,5000
"779","RICKPAC",5000,1,5000
"780","ROLE MODEL LEADERSHIP PAC",5000,1,5000
"781","RUST BELT RISING PAC",5000,1,5000
"782","Scott Taylor for Senate",5000,1,5000
"783","SCOTT TAYLOR FOR SENATE",5000,1,5000
"784","SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC",5000,1,5000
"785","SIMPSON FOR CONGRESS",5000,2,2500
"786","SPECIAL OPERATIONS FOR AMERICA",5000,1,5000
"787","TEAM CHENEY",5000,2,2500
"788","Team Josh",5000,1,5000
"789","TENN POLITICAL ACTION COMMITTEE INC (TENN PAC)",5000,1,5000
"790","The Committee to Elect Delegates",5000,1,5000
"791","THE HAWKEYE PAC",5000,1,5000
"792","The Home Depot Inc. Political Action Committee",5000,1,5000
"793","The Pittenger Victory Fund",5000,1,5000
"794","Unite The Country",5000,1,5000
"795","Universal Techincal Institute PAC (UTIPAC)",5000,1,5000
"796","Universal Technical Institute PAC",5000,1,5000
"797","Universal Technical Institute PAC (UTIPAC)",5000,1,5000
"798","University Public Issues Committee",5000,1,5000
"799","UPPER HAND FUND",5000,1,5000
"800","WALBERG VICTORY FUND",5000,1,5000
"801","WHAT A COUNTRY! PAC",5000,1,5000
"802","Wine and Spirits Wholesalers of America, Inc Pac",5000,1,5000
"803","Bentivolio for Congress",4840,2,2420
"804","Biden for President",4800,3,1600
"805","DONNA SHALALA FOR CONGRESS",4800,2,2400
"806","TEAM PORTMAN",4800,1,4800
"807","WAKE REC FEDERAL",4800,1,4800
"808","DAN NEWHOUSE FOR CONGRESS",4700,2,2350
"809","DENNY HECK FOR CONGRESS",4700,2,2350
"810","FRIENDS OF ERIK PAULSEN",4700,2,2350
"811","O'MALLEY FOR PRESIDENT",4700,2,2350
"812","TARKANIAN FOR CONGRESS",4700,2,2350
"813","TERRI BONOFF FOR CONGRESS",4700,2,2350
"814","UDALL FOR US ALL",4700,1,4700
"815","VIRGINIA FOXX FOR CONGRESS",4700,1,4700
"816","PURPOSE PAC",4600,1,4600
"817","TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN",4600,2,2300
"818","BILL NELSON FOR U S SENATE",4500,1,4500
"819","BRAD WENSTRUP VICTORY FUND",4500,3,1500
"820","MARSHA BLACKBURN FOR CONGRESS, INC.",4500,2,2250
"821","ACTBLUE",4451,16,278.1875
"822","FINKENAUER FOR CONGRESS",4200,1,4200
"823","MADISON PAC; THE",4100,2,2050
"824","BLUMENTHAL FOR CONNECTICUT",4000,3,1333.33333333333
"825","FRIENDS OF DAVE REICHERT",4000,1,4000
"826","FRIENDS OF JOHN BOEHNER",4000,2,2000
"827","FRIENDS OF MAZIE HIRONO",4000,1,4000
"828","FRIENDS OF PATRICK MURPHY",4000,3,1333.33333333333
"829","HOLDING ONTO OREGON'S PRIORITIES",4000,1,4000
"830","COLIN ALLRED FOR CONGRESS",3800,2,1900
"831","DEBBIE FOR CONGRESS",3800,1,3800
"832","FRIENDS OF SESSIONS SENATE COMMITTEE INC",3800,2,1900
"833","HOMRICH FOR CONGRESS",3800,2,1900
"834","HUFFMAN FOR CONGRESS",3800,2,1900
"835","MAX ROSE FOR CONGRESS",3800,2,1900
"836","DELOITTE POLITICAL ACTION COMMITTEE",3750,1,3750
"837","CASTEN FOR CONGRESS",3700,2,1850
"838","CONOR LAMB FOR CONGRESS",3700,2,1850
"839","Debbie Lesko For Congress",3700,1,3700
"840","Evan Bayh Committee",3700,2,1850
"841","FRIENDS OF CORRINE BROWN",3700,1,3700
"842","JON KEYSER FOR SENATE",3700,1,3700
"843","Kevin McCarthy for Congress",3700,2,1850
"844","MAURA SULLIVAN FOR CONGRESS",3700,2,1850
"845","OMAR QUDRAT FOR CONGRESSS",3700,1,3700
"846","PETE SESSIONS FOR CONGRESS",3700,2,1850
"847","Ro for Congress",3700,2,1850
"848","RO FOR CONGRESS INC",3700,2,1850
"849","SCHOLTEN4IOWA CAMPAIGN COMMITTEE",3700,1,3700
"850","SHAWN NELSON FOR CONGRESS",3700,1,3700
"851","TAMMY FOR ILLINOIS",3700,2,1850
"852","YOUNG FOR IOWA, INC.",3700,2,1850
"853","Biggs For Congress",3500,2,1750
"854","BILIRAKIS FOR CONGRESS",3500,3,1166.66666666667
"855","ERNST VICTORY",3500,1,3500
"856","JIM RISCH FOR U S SENATE COMMITTEE",3500,2,1750
"857","WALORSKI FOR CONGRESS INC",3500,2,1750
"858","FISCAL LEADERSHIP AND KNOWING ECONOMICS PAC",3400,1,3400
"859","Biden For President",3345,2,1672.5
"860","DR KIM SCHRIER FOR CONGRESS",3300,2,1650
"861","Trump Make America Great Again Committee",3020,1,3020
"862","BLACK AMERICANS TO RE-ELECT THE PRESIDENT",3002,2,1501
"863","CONGRESSIONAL BLACK CAUCUS PAC",3000,2,1500
"864","Connolly for Congress",3000,3,1000
"865","FLIP WA BLUE 2018",3000,1,3000
"866","FRIENDS OF BRADY WALKINSHAW",3000,2,1500
"867","HALEY STEVENS FOR CONGRESS",3000,2,1500
"868","MARINO FOR CONGRESS",3000,2,1500
"869","MCCASKILL FOR MISSOURI",3000,1,3000
"870","MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE",3000,2,1500
"871","PEMBERTON FOR MA",3000,1,3000
"872","ROS-LEHTINEN FOR CONGRESS",3000,1,3000
"873","Engel for Congress",2839,2,1419.5
"874","Alaskans For Dan Sullivan",2800,1,2800
"875","ALASKANS FOR DON YOUNG",2800,1,2800
"876","Americans for Parnell Committee",2800,1,2800
"877","Amy for America",2800,1,2800
"878","Amy McGrath for Senate, Inc.",2800,1,2800
"879","ANDREWS FOR CONGRESS",2800,1,2800
"880","ANTONE FOR CONGRESS",2800,1,2800
"881","Bennet for America",2800,1,2800
"882","Beth Van Duyne for Congress",2800,1,2800
"883","Brier for Congress",2800,1,2800
"884","Brindisi for Congress",2800,1,2800
"885","CARUSO-CABRERA FOR NEW YORK",2800,1,2800
"886","CLAIRE RUSSO FOR CONGRESS",2800,1,2800
"887","COLLINS FOR TEXAS",2800,1,2800
"888","Cory 2020",2800,1,2800
"889","Cory Booker for Senate",2800,1,2800
"890","CRY FREEDOM PAC",2800,1,2800
"891","DEVAL FOR ALL",2800,1,2800
"892","DR. AL GROSS FOR U.S. SENATE",2800,1,2800
"893","ELIZABETH PANNILL FLETCHER FOR CONGRESS",2800,1,2800
"894","ESTHER FOR CONGRESS",2800,1,2800
"895","FEENSTRA FOR CONGRESS",2800,1,2800
"896","Ferguson Victory Fund",2800,1,2800
"897","Gillibrand 2020",2800,1,2800
"898","GREG RATHS FOR CONGRESS 2020",2800,1,2800
"899","Hickenlooper for Colorado",2800,1,2800
"900","HIRAL FOR CONGRESS",2800,1,2800
"901","Homrich Congress",2800,1,2800
"902","Innovation Political Action Committee",2800,1,2800
"903","JACKIE GORDON FOR CONGRESS",2800,1,2800
"904","JEFFRIES FOR CONGRESS",2800,1,2800
"905","JESSICA TAYLOR FOR CONGRESS, INC.",2800,1,2800
"906","Jim 2020 Committee",2800,1,2800
"907","JOE COLLINS FOR CONGRESS",2800,1,2800
"908","Joe Sestak for President",2800,1,2800
"909","John James For Senate",2800,1,2800
"910","JONES VICTORY FUND",2800,1,2800
"911","KENDRA HORN FOR CONGRESS",2800,1,2800
"912","LINDSTROM FOR SENATE",2800,1,2800
"913","LIPETRI FOR CONGRESS",2800,1,2800
"914","LISA SONG SUTTON FOR CONGRESS",2800,1,2800
"915","LULU FOR TEXAS",2800,1,2800
"916","MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE",2800,1,2800
"917","Mark Kelly for Senate ",2800,1,2800
"918","MARYOTT FOR CONGRESS",2800,1,2800
"919","MATT LIEBERMAN FOR SENATE",2800,1,2800
"920","Matt Rosendale for Montana",2800,1,2800
"921","Nevadans for Steven Horsford",2800,1,2800
"922","NICK COLVIN FOR CONGRESS",2800,1,2800
"923","PEOPLE FOR BEN",2800,1,2800
"924","PEOPLE POWERED ACTION",2800,1,2800
"925","PRO-ISRAEL AMERICA PAC",2800,1,2800
"926","Roger Williams for U.S. Congress Committee",2800,1,2800
"927","ROUNDS FOR SENATE",2800,1,2800
"928","Sara Gideon for Maine",2800,1,2800
"929","Sherman for Congress",2800,1,2800
"930","Stand with Sanchez",2800,1,2800
"931","STEVE DARDEN FOR CONGRESS",2800,1,2800
"932","Thom Tillis Committee",2800,1,2800
"933","Win the Era PAC",2800,1,2800
"934","KANEW FOR CONGRESS",2708,1,2708
"935","Adam Smith for Congress Committee",2700,1,2700
"936","ALEJANDRA CAMPOVERDI FOR CONGRESS",2700,1,2700
"937","ANDREW JANZ FOR CONGRESS",2700,1,2700
"938","ANGUS KING FOR US SENATE CAMPAIGN",2700,1,2700
"939","Anthony Gonzalez for Congress",2700,1,2700
"940","ANTONY GHEE FOR CONGRESS INC",2700,1,2700
"941","AUGUST WOLF FOR SENATE",2700,1,2700
"942","BAUGH FOR CONGRESS",2700,1,2700
"943","BETH LINDSTROM FOR US SENATE INC",2700,1,2700
"944","Beto for Texas",2700,1,2700
"945","BILL FLORES FOR CONGRESS",2700,1,2700
"946","BILL FOSTER FOR CONGRESS",2700,1,2700
"947","BLUM FOR CONGRESS",2700,1,2700
"948","Blumenthal for Connecticut",2700,1,2700
"949","BRIAN MAST FOR CONGRESS",2700,1,2700
"950","CAMPBELL 4 MARYLAND",2700,1,2700
"951","CARLOS LOPEZ-CANTERA FOR SENATE",2700,1,2700
"952","CARLY FOR PRESIDENT",2700,1,2700
"953","Catherine Cortez Masto for Senate",2700,1,2700
"954","Chris Christie For President",2700,1,2700
"955","CHRIS CHRISTIE FOR PRESIDENT INC",2700,1,2700
"956","CITIZENS FOR COCHRAN",2700,1,2700
"957","Citizens for Waters",2700,1,2700
"958","CITIZENS FOR WATERS",2700,1,2700
"959","CLYDE WILLIAMS FOR CONGRESS",2700,1,2700
"960","COFFMAN FOR CONGRESS 2016",2700,1,2700
"961","Colleen Deacon for Congress",2700,1,2700
"962","Collins For Senator",2700,1,2700
"963","COMMITTEE TO ELECT STEVE WATKINS",2700,1,2700
"964","COMSTOCK VICTORY FUND 2018",2700,1,2700
